team_key,auto_accuracy,teleop_accuracy,tower_accuracy,auto_error,teleop_error,tower_error,observations,matches
FRC1425,0.7398166050750645,0.5820467875423194,0.5555555555555556,13.69306181818182,58.296523636363645,0.9090909090909091,18,18
FRC1540,0.5730954728531448,0.5655837144554869,0.5882352941176471,22.735336363636364,88.41937590909092,0.9090909090909091,17,17
FRC6696,0.5369249250167333,0.4187149803082939,0.5882352941176471,13.28450909090909,73.07205818181818,0.9090909090909091,17,17
FRC2374,0.5350611124245073,0.5579092648329308,0.7857142857142857,10.34946590909091,52.709418636363644,0.0,14,14
FRC5937,0.5240904264085012,0.6644188568480668,0.5555555555555556,16.121605,45.80160708333333,0.9090909090909091,18,18
FRC1595,0.48679589036774634,0.4248057465636316,0.8571428571428571,13.111724166666667,65.39136791666667,0.0,14,14
FRC957,0.47968762245116436,0.5595240582291666,0.7692307692307693,23.08517833333333,72.12148125,0.0,14,14
FRC2550,0.47003801199591316,0.10646721671218273,0.8571428571428571,16.863729166666666,85.22035416666667,0.0,14,14
FRC6343,0.3887887975281117,0.32408589318099557,0.7333333333333333,16.979673636363636,61.91160363636364,0.0,15,15
FRC4488,0.3782267340513356,0.46711826510872534,0.5625,17.534015,61.40197416666666,1.8181818181818181,16,16
FRC4513,0.37243334763483465,0.4829451660251383,0.8461538461538461,20.4395,59.98516090909091,0.0,14,14
FRC2471,0.36903627508180437,0.42227869921772915,0.4117647058823529,29.326013333333332,69.94247333333333,3.0,17,17
FRC3663,0.3483645068784645,0.46317193023544206,0.7058823529411765,19.1476025,57.93556916666666,0.0,17,17
FRC7034,0.3160207817326352,0.7429078873644039,0.6666666666666666,19.285275,34.64030833333333,0.0,15,15
FRC2990,0.2785677180081882,0.3847417795149224,0.6666666666666666,20.475406666666668,66.72246,0.9090909090909091,15,15
FRC3636,0.20652279433726894,0.16124351922617144,0.625,12.989759166666667,48.428175,3.3333333333333335,16,16
FRC10444,0.17738369120353328,0.0698482096579786,0.7857142857142857,20.389374166666666,60.35274999999999,0.8333333333333334,14,14
FRC4043,0.16976594687131052,0.19994444785915066,0.7333333333333333,21.8655,82.49308454545455,0.0,16,16
FRC2635,0.1275555717282227,0.0701323197665177,0.7142857142857143,26.537966666666666,73.81008625,0.0,15,15
FRC847,0.10290530053475937,0.2849520426978293,0.6470588235294118,26.085378333333335,58.59590333333333,0.8333333333333334,17,17
FRC3024,0.08062263257575757,0.2682300120369163,0.8333333333333334,18.627208333333332,68.52095833333334,0.0,12,12
FRC9438,0.07834265069725595,0.07540119143423654,0.8,24.1094875,67.98042083333333,0.0,15,15
FRC3673,0.06765,0.2597504672929667,0.47058823529411764,21.4116,61.526545454545456,0.0,17,17
FRC3574,0.040943804985337236,0.00929602800153432,0.8333333333333334,21.92282833333333,58.73982166666667,0.9090909090909091,12,12
FRC2898,0.035455384615384604,0.16708456461027502,0.8333333333333334,20.917634545454543,96.56087090909091,0.9090909090909091,12,12
FRC6831,0.03147916666666667,0.1434208848712033,0.9166666666666666,25.536854166666668,75.74501041666666,2.5,12,12
FRC5970,0.008482345679012349,0.011368682547962666,0.5,21.270976666666666,64.69390333333332,1.0,18,18
FRC5975,0.004711850649350657,0.03654665511254695,0.9090909090909091,21.206761363636364,78.97546818181819,0.9090909090909091,12,12
FRC4662,0.003504651162790695,0.0,0.75,25.765966666666667,85.7,1.0,12,12
FRC2915,0.0,0.12124253186073602,0.8611111111111112,15.5,61.56341666666666,2.5,12,12
FRC9600,0.0,0.14839457406233456,0.6,18.416666666666668,66.82109333333334,1.8181818181818181,15,15
FRC9613,0.0,0.0,0.5833333333333334,22.0,49.0,1.25,12,12
